threshold,n_retained,pct_rejected,irr,irr_lo,irr_hi,fisher_or,fisher_pval,nb_pval,n_dates
0.0,107875,0.0,,,,,,,0
0.049999999999999996,107329,0.5061413673232873,,,,,,,0
0.09999999999999999,100550,6.790266512166864,1.2237747135710078,0.9219361441109328,1.6244341423668047,1.7806167400881057,0.13956786365006008,0.16225958728560907,274
0.15,88772,17.708458864426426,1.2482331878251698,0.9403011439031856,1.6570075462426617,1.8382222222222222,0.10480871277427756,0.12500265499680968,272
0.19999999999999998,78034,27.66257242178447,1.2831792145844194,0.9665567378859099,1.7035201682447352,1.9565610859728506,0.07632762707923374,0.08457917655937466,268
0.24999999999999997,68904,36.1260718424102,1.3160226767457293,0.991219492203751,1.747257493754964,1.9868181818181818,0.0762661395263488,0.05756278821894627,267
0.3,61096,43.36407879490151,1.3577954219349555,1.0225996217005942,1.8028643554176007,1.6341743119266054,0.20331710676757875,0.03447283124606641,263
0.35,54125,49.826187717265356,1.3923127616346977,1.0484999623554652,1.8488649459327604,1.5657800143781453,0.2114446358341866,0.022177802610467087,258
0.39999999999999997,47539,55.93140208574739,1.4460515763720712,1.0888528140645923,1.9204295883870557,1.4419852448021462,0.34922535881784034,0.01083187787245907,256
0.44999999999999996,41628,61.410892236384704,1.4965783049368448,1.1267596013903571,1.9877768248381644,1.5064625850340136,0.27807659638201976,0.005367114050078968,253
0.49999999999999994,36215,66.4287369640788,1.5442757340102635,1.1624957871828292,2.0514375784811985,1.5504807692307692,0.21809966337323333,0.0027069683847593066,251
0.5499999999999999,30955,71.30475086906141,1.5981728366929242,1.2028380813420896,2.123441596638892,1.2749927557229788,0.5442768387244636,0.0012216183649036035,243
0.6,25819,76.06581691772885,1.6716184958560294,1.2577941178018055,2.2215944216462633,1.27580372250423,0.4577232875594135,0.00039937758389306413,236
0.6499999999999999,20785,80.73232908458866,1.7803029879358203,1.3390993570355585,2.3668734602857753,1.3837837837837839,0.30624620395969304,7.198480480182717e-05,223
0.7,15481,85.64913093858632,1.9507433889736634,1.4664208028947283,2.595025767578146,1.3041754756871036,0.3877978278908206,4.449512543362289e-06,207
0.7499999999999999,10761,90.02456546929317,2.2245951361462337,1.670633248206627,2.962244122148226,1.3778851315083198,0.31343652802624933,4.437740249663397e-08,196
0.7999999999999999,6280,94.1784472769409,2.9508155194290455,2.2115202926653783,3.9372517894507055,1.5235690235690236,0.14953745925729306,1.9248104829303965e-13,162
0.85,2564,97.62317497103129,6.029909155634544,4.488316078310013,8.100990168877741,2.164909638554217,0.010980601498971305,8.52697015817134e-33,108
0.8999999999999999,754,99.30104287369642,10.313355133672776,7.363513383079773,14.444910816304859,2.2189349112426036,0.17167297292422515,5.613761230851794e-42,18
0.95,64,99.9406720741599,14.836699520708128,7.294501569064732,30.177202730522488,5.571428571428571,0.2847286310700945,9.642823638522361e-14,2
