fold,auc,sens,spec,f1,n_train,n_test
0,0.8175862068965518,0.5517241379310345,0.98,0.6956521739130435,314,79
1,0.8697478991596638,0.6785714285714286,0.9607843137254902,0.7755102040816326,314,79
2,0.8778011204481793,0.7142857142857143,0.8823529411764706,0.7407407407407407,314,79
3,0.8807142857142857,0.6428571428571429,0.84,0.6666666666666666,315,78
4,0.8571428571428571,0.6071428571428571,0.92,0.6938775510204082,315,78
