snr,psf_ratio,elongation,compactness,sharpness,n_comparison_stars,candidate_score,plate_quality_GOOD,plate_quality_MODERATE,plate_low_snr_frac,plate_snr_std,plate_elongation_mean,plate_n_high_snr,red_fits_snr,red_fits_fwhm,red_ellipticity,red_sharpness_2nd,red_n_connected_px,red_aperture_flux,red_dist_to_edge_px,red_symmetry_score,red_gradient_magnitude,red_near_bright_star,label
6.9035471068959255,0.8660254037844386,4.203329378654816,0.2230716677105178,0.1242027800490596,20.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
4.221725322933114,0.0,2.65728264400584,0.1260515570884793,0.0931550106807838,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
23.054843750305995,0.7620999227554986,2.559839417779508,0.1551403779550515,0.1724458972979683,20.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
6.395750021249656,0.8038475772933681,2.009785996575576,0.2454369260617026,0.2778106508875739,20.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
30.850757435079725,0.9442719099991588,1.9978327081401803,0.2129260181386661,0.0431054104352715,20.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
52.19554568832197,0.9054718649081258,7.621625395816048,0.2523717090141385,0.1490821435193769,20.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
24.58626792242504,0.8660254037844387,3.2122953624807664,0.1427996660722633,0.1305822401267086,20.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,10.626987183064694,3.742410318509555,0.19682298170107915,1473.2943444617179,20.0,49342.5,258.0,0.30984965542943943,18783.475683573775,0.0,1
